City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,enewetak,11.3474,162.3373,81.82,76,50,19.62,MH,1702420707
1,darwin,-12.4611,130.8418,83.95,86,40,6.91,AU,1702420626
2,manicore,-5.8092,-61.3003,81.0,74,100,1.01,BR,1702420707
3,basco,20.4487,121.9702,78.94,74,0,22.1,PH,1702420707
4,bilibino,68.0546,166.4372,-8.28,96,100,3.8,RU,1702420707
5,qaqortoq,60.7167,-46.0333,29.75,97,100,7.47,GL,1702420707
6,rio grande,-32.035,-52.0986,77.11,86,0,20.33,BR,1702420708
7,kayyerkan,69.3786,87.7439,-16.71,75,100,8.52,RU,1702420708
8,callao,-12.0667,-77.15,71.89,68,20,13.8,PE,1702420708
9,thompson,55.7435,-97.8558,-2.04,78,20,6.91,CA,1702420685
10,ushuaia,-54.8,-68.3,53.26,47,0,9.22,AR,1702420516
11,xilin hot,43.9667,116.0333,-1.39,97,76,7.34,CN,1702420708
12,hilo,19.7297,-155.09,81.28,77,0,8.05,US,1702420708
13,peto,20.1333,-88.9167,74.12,65,100,5.86,MX,1702420709
14,margate,51.3813,1.3862,46.69,91,87,4.0,GB,1702420146
15,albany,42.6001,-73.9662,38.44,67,1,1.99,US,1702420709
16,aykhal,66.0,111.5,-12.06,96,100,9.17,RU,1702420709
17,adamstown,-25.066,-130.1015,71.37,87,96,9.46,PN,1702420528
18,fort st. john,56.2499,-120.8529,35.49,48,75,13.8,CA,1702420521
19,port-aux-francais,-49.35,70.2167,43.52,90,68,12.77,TF,1702420523
20,ranot,7.7777,100.3213,79.56,82,85,11.16,TH,1702420710
21,iqaluit,63.7506,-68.5145,10.13,67,75,16.11,CA,1702420710
22,grande prairie,55.1667,-118.8027,30.38,69,75,4.61,CA,1702420696
23,kavieng,-2.5744,150.7967,82.96,78,95,5.39,PG,1702420710
24,bandarbeyla,9.4942,50.8122,76.71,71,39,16.04,SO,1702420304
25,hadibu,12.65,54.0333,75.6,73,96,6.26,YE,1702420711
26,faya-largeau,17.9257,19.1043,64.36,32,7,22.28,TD,1702420711
27,college,64.8569,-147.8028,7.45,82,100,4.61,US,1702420711
28,puerto natales,-51.7236,-72.4875,46.45,81,77,13.89,CL,1702420711
29,coxen hole,16.3244,-86.5366,76.28,88,100,9.22,HN,1702420659
30,ellsworth,44.5434,-68.4195,35.85,79,0,9.22,US,1702420459
31,saint-leu,-21.15,55.2833,74.26,79,76,5.86,RE,1702420712
32,rongelap,11.1635,166.8941,81.05,69,96,22.46,MH,1702420712
33,rio tinto,41.1826,-8.5581,56.28,94,75,2.3,PT,1702420712
34,savanna-la-mar,18.219,-78.1332,84.15,86,98,4.54,JM,1702420712
35,west island,-12.1568,96.8225,78.78,83,40,5.75,CC,1702420712
36,kuusamo,65.9667,29.1833,6.84,85,100,1.14,FI,1702420683
37,waitangi,-43.9535,-176.5597,55.81,81,63,5.99,NZ,1702420713
38,ust-nera,64.5667,143.2,-9.49,99,100,5.84,RU,1702420713
39,labytnangi,66.6572,66.4183,4.53,86,100,8.1,RU,1702420713
40,tortoli,39.9256,9.6572,60.62,72,0,6.91,IT,1702420713
41,shingu,33.7333,135.9833,47.46,76,0,5.68,JP,1702420713
42,cockburn town,21.4612,-71.1419,79.39,78,94,25.03,TC,1702420714
43,kavaratti,10.5669,72.642,81.97,73,11,3.67,IN,1702420714
44,booue,-0.0921,11.9385,73.17,95,100,0.29,GA,1702420714
45,konarka,19.9,86.1167,59.4,63,17,5.82,IN,1702420714
46,kristiansund,63.1115,7.732,27.25,80,72,5.75,NO,1702420714
47,ilulissat,69.2167,-51.1,21.22,73,75,6.91,GL,1702420714
48,sao joao da barra,-21.6403,-41.0511,75.29,84,44,8.97,BR,1702420715
49,kemijarvi,66.7131,27.4306,-12.28,100,100,1.74,FI,1702420715
50,hasaki,35.7333,140.8333,46.29,54,39,18.01,JP,1702420715
51,belmonte,-15.8631,-38.8828,78.78,80,91,11.7,BR,1702420715
52,aasiaat,68.7098,-52.8699,14.63,92,100,2.35,GL,1702420715
53,lebu,-37.6167,-73.65,55.06,78,0,21.9,CL,1702420716
54,grytviken,-54.2811,-36.5092,42.91,94,100,13.8,GS,1702420716
55,bethel,41.3712,-73.414,41.65,63,0,3.44,US,1702420716
56,longyearbyen,78.2186,15.6401,17.44,62,75,17.27,SJ,1702420716
57,st. john's,47.5649,-52.7093,37.98,81,22,8.99,CA,1702420716
58,revda,56.801,59.9303,-10.21,89,97,3.98,RU,1702420716
59,bathsheba,13.2167,-59.5167,79.41,89,20,12.66,BB,1702420717
60,mata-utu,-13.2816,-176.1745,81.72,72,92,11.23,WF,1702420717
61,tekeli,44.83,78.8239,-13.88,84,78,7.34,KZ,1702420717
62,sitka,57.0531,-135.33,46.29,76,100,32.21,US,1702420717
63,vorkuta,67.5,64.0,0.46,96,100,8.9,RU,1702420717
64,papatowai,-46.5619,169.4708,52.18,83,100,17.18,NZ,1702420718
65,tsiombe,-25.3,45.4833,74.48,80,100,5.59,MG,1702420718
66,banda aceh,5.5577,95.3222,77.2,83,62,8.43,ID,1702420718
67,cestos city,5.46,-9.5828,81.12,79,99,6.64,LR,1702420718
68,lompoc,34.6391,-120.4579,72.7,60,0,17.27,US,1702420718
69,nemuro,43.3236,145.575,30.69,61,39,23.42,JP,1702420719
70,stanley,54.868,-1.6985,43.29,96,75,12.66,GB,1702420719
71,nouadhibou,20.931,-17.0347,69.78,52,99,10.36,MR,1702420719
72,dudinka,69.4058,86.1778,-16.38,89,98,18.01,RU,1702420719
73,laguna,38.421,-121.4238,66.15,51,0,6.91,US,1702420719
74,teknaf,20.8624,92.3058,66.58,85,3,4.61,BD,1702420719
75,invercargill,-46.4,168.35,54.52,77,100,17.9,NZ,1702420720
76,atafu village,-8.5421,-172.5159,81.37,83,100,20.76,TK,1702420720
77,edinburgh of the seven seas,-37.0676,-12.3116,58.95,92,99,17.38,SH,1702420720
78,tura,25.5198,90.2201,58.5,88,47,1.66,IN,1702420720
79,ibarreta,-25.2144,-59.8585,86.23,59,37,7.0,AR,1702420720
80,port mathurin,-19.6833,63.4167,79.29,74,83,12.88,MU,1702420720
81,yongchuan,29.3514,105.8947,57.65,83,100,3.8,CN,1702420720
82,badger,64.8,-147.5333,7.36,83,100,4.61,US,1702420484
83,hithadhoo,-0.6,73.0833,82.15,74,57,4.79,MV,1702420721
84,iskateley,67.6803,53.1512,7.02,96,86,8.99,RU,1702420721
85,yellowknife,62.456,-114.3525,14.52,85,100,13.8,CA,1702420721
86,kingston,17.997,-76.7936,85.15,70,20,9.22,JM,1702420673
87,alagoinhas,-12.1356,-38.4192,74.62,87,83,9.15,BR,1702420721
88,staszow,50.5631,21.1659,39.92,93,91,5.46,PL,1702420722
89,hell-ville,-13.4,48.2667,78.82,80,90,1.19,MG,1702420722
90,akureyri,65.6835,-18.0878,30.13,74,0,14.97,IS,1702420722
91,bad griesbach,48.4518,13.1933,46.58,97,100,2.28,DE,1702420722
92,broken hill,-31.95,141.4333,81.72,21,1,11.3,AU,1702420722
93,tiksi,71.6872,128.8694,-6.38,99,100,12.44,RU,1702420722
94,olonkinbyen,70.9221,-8.7187,29.53,67,46,21.45,SJ,1702420722
95,puerto ayora,-0.7393,-90.3518,85.96,85,56,8.93,EC,1702420723
96,lionel town,17.8101,-77.2406,85.89,85,99,7.4,JM,1702420723
97,tazovsky,67.4667,78.7,-7.69,95,100,9.24,RU,1702420723
98,momil,9.2377,-75.6749,89.69,88,23,7.38,CO,1702420723
99,ulladulla,-35.35,150.4667,79.77,59,85,8.66,AU,1702420723
100,blackmans bay,-43.0167,147.3167,66.72,66,99,5.39,AU,1702420724
101,markovo,57.3206,107.0881,-21.03,99,100,2.15,RU,1702420724
102,avarua,-21.2078,-159.775,80.65,78,75,14.97,CK,1702420724
103,talnakh,69.4865,88.3972,-16.8,95,100,10.65,RU,1702420724
104,busko-zdroj,50.4708,20.7188,39.09,91,86,4.83,PL,1702420724
105,nagqu,31.5,92.0,9.91,92,100,2.17,CN,1702420724
106,dwarka,22.2394,68.9678,71.82,63,65,5.77,IN,1702420725
107,holualoa,19.6228,-155.9522,78.64,72,20,13.8,US,1702420725
108,nadym,65.5333,72.5167,3.15,95,100,12.44,RU,1702420725
109,constitucion,-35.3333,-72.4167,61.65,69,65,17.0,CL,1702420725
110,sandersville,32.9815,-82.8101,53.28,50,48,4.18,US,1702420725
111,bryne,58.7354,5.6477,35.98,68,0,1.14,NO,1702420725
112,goundam,16.4145,-3.6708,69.22,21,0,9.55,ML,1702420725
113,minas de barroteran,27.6333,-101.2833,60.58,48,70,8.43,MX,1702420726
114,gadzhiyevo,69.2551,33.3362,-0.31,100,80,9.82,RU,1702420726
115,coquimbo,-29.9533,-71.3436,65.93,72,0,13.8,CL,1702420726
116,georgetown,5.4112,100.3354,78.73,95,20,2.3,MY,1702420713
117,bor,56.3567,44.0669,12.0,78,100,15.73,RU,1702420726
118,port saint john's,-31.6229,29.5448,64.33,85,100,8.99,ZA,1702420726
119,phuthaditjhaba,-28.5242,28.8158,54.97,95,39,6.26,ZA,1702420726
120,thunder bay,48.4001,-89.3168,21.18,49,75,17.27,CA,1702420702
121,ulety,51.3572,112.4849,-19.44,96,11,2.98,RU,1702420727
122,tolanaro,-25.0319,46.9987,74.82,94,100,8.3,MG,1702420727
123,novyy urgal,51.0736,132.5642,-29.24,99,19,1.59,RU,1702420727
124,zaozersk,69.4005,32.4476,-1.46,99,60,7.07,RU,1702420727
125,isafjordur,66.0755,-23.124,33.69,87,100,12.71,IS,1702420727
126,ceeldheer,3.8488,47.1806,78.1,79,51,12.66,SO,1702420728
127,whitehorse,60.7161,-135.0538,38.17,70,75,23.02,CA,1702420728
128,bulanik,39.0929,42.2703,36.75,99,100,1.77,TR,1702420728
129,hirara,24.8,125.2833,70.07,78,75,16.11,JP,1702420728
130,usinsk,65.9939,57.5281,3.42,92,100,19.64,RU,1702420728
131,cabo san lucas,22.8909,-109.9124,83.61,58,40,11.5,MX,1702420547
132,happy valley-goose bay,53.3168,-60.3315,25.11,80,100,0.0,CA,1702420728
133,klyuchi,52.2667,79.1667,-14.26,80,13,7.56,RU,1702420729
134,port hueneme,34.1478,-119.1951,73.33,66,0,8.05,US,1702420729
135,kapa'a,22.0752,-159.319,80.58,89,75,16.11,US,1702420729
136,anadyr,64.75,177.4833,-16.01,82,0,11.18,RU,1702420729
137,utrik,11.2278,169.8474,80.94,78,99,20.74,MH,1702420729
138,jindabyne,-36.4167,148.6333,77.43,53,87,4.9,AU,1702420729
